date,Count
9/1/2013 - 9/2/2013,11
9/2/2013 - 9/3/2013,9
9/3/2013 - 9/4/2013,2
9/4/2013 - 9/5/2013,2
9/5/2013 - 9/6/2013,5
9/6/2013 - 9/7/2013,3
9/7/2013 - 9/8/2013,13
9/8/2013 - 9/9/2013,20
9/9/2013 - 9/10/2013,2
9/10/2013 - 9/11/2013,3
9/11/2013 - 9/12/2013,5
9/12/2013 - 9/13/2013,6
9/13/2013 - 9/14/2013,7
9/14/2013 - 9/15/2013,6
9/15/2013 - 9/16/2013,11
9/16/2013 - 9/17/2013,3
9/17/2013 - 9/18/2013,11
9/18/2013 - 9/19/2013,6
9/19/2013 - 9/20/2013,2
9/20/2013 - 9/21/2013,2
9/21/2013 - 9/22/2013,9
9/22/2013 - 9/23/2013,14
9/23/2013 - 9/24/2013,4
9/24/2013 - 9/25/2013,12
9/25/2013 - 9/26/2013,5
9/26/2013 - 9/27/2013,4
9/27/2013 - 9/28/2013,4
9/28/2013 - 9/29/2013,10
9/29/2013 - 9/30/2013,2
9/30/2013 - 10/1/2013,1
10/1/2013 - 10/2/2013,3
10/2/2013 - 10/3/2013,7
10/3/2013 - 10/4/2013,6
10/4/2013 - 10/5/2013,3
10/5/2013 - 10/6/2013,10
10/6/2013 - 10/7/2013,6
10/7/2013 - 10/8/2013,3
10/8/2013 - 10/9/2013,1
10/9/2013 - 10/10/2013,3
10/10/2013 - 10/11/2013,4
10/11/2013 - 10/12/2013,0
10/12/2013 - 10/13/2013,10
10/13/2013 - 10/14/2013,9
10/14/2013 - 10/15/2013,2
10/15/2013 - 10/16/2013,1
10/16/2013 - 10/17/2013,3
10/17/2013 - 10/18/2013,1
10/18/2013 - 10/19/2013,6
10/19/2013 - 10/20/2013,6
10/20/2013 - 10/21/2013,18
10/21/2013 - 10/22/2013,3
10/22/2013 - 10/23/2013,5
10/23/2013 - 10/24/2013,1
10/24/2013 - 10/25/2013,2
10/25/2013 - 10/26/2013,4
10/26/2013 - 10/27/2013,5
10/27/2013 - 10/28/2013,15
10/28/2013 - 10/29/2013,1
10/29/2013 - 10/30/2013,5
10/30/2013 - 10/31/2013,2
10/31/2013 - 11/1/2013,1
11/1/2013 - 11/2/2013,2
11/2/2013 - 11/3/2013,10
11/3/2013 - 11/4/2013,13
11/4/2013 - 11/5/2013,3
11/5/2013 - 11/6/2013,3
11/6/2013 - 11/7/2013,0
11/7/2013 - 11/8/2013,3
11/8/2013 - 11/9/2013,7
11/9/2013 - 11/10/2013,10
11/10/2013 - 11/11/2013,6
11/11/2013 - 11/12/2013,2
11/12/2013 - 11/13/2013,1
11/13/2013 - 11/14/2013,3
11/14/2013 - 11/15/2013,2
